Station,Year,Month,Day,MeanTemp,NTempObs,DewPoint,NDewPointObs,SeaLevelPressure,NSeaLevPressObs,StationPressure,NStatPressObs,Visibility,NVisibilityObs,MeanWindSpeed,NWindObs,MaxSustWindSpeed,MaxWindGust,MaxTemp,MaxTempSource,MinTemp,MinTempSource,PrecipAmount,NPrecipReportHours,PrecipFlag,SnowDepth,Fog,Rain,Snow,Hail,Thunder,Tornado
phoenix-sky-harbor,2006,2,11,61.6,24,22.8,24,1021.6,24,982.3,24,10,24,5,24,13.8,NULL,75,explicit,48,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,2,12,63.7,24,2.7,24,1023.3,24,984,24,10,24,5.6,24,15.9,20.8,78.1,explicit,46.9,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,2,13,63.4,24,7.9,24,1019.2,24,980.1,24,10,24,3,24,9.9,NULL,78.1,explicit,46.9,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,2,14,63.1,24,10.4,24,1013.4,24,974.4,24,10,24,3.8,24,7,NULL,77,explicit,48.9,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,2,15,63,24,13.8,24,1009.3,24,970.5,24,9.9,24,7.5,24,17.9,24.9,78.1,explicit,50,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,2,16,60.4,24,25.6,24,1012.1,24,973.2,24,10,24,7.2,24,15,22.7,78.1,explicit,50,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,2,17,59.9,24,18,24,1014,24,975,24,10,24,3.7,24,8.9,NULL,68,explicit,51.1,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,2,18,54.7,24,16.8,24,1015.3,24,976.1,24,10,24,4.7,24,10.9,NULL,64.9,explicit,42.1,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,2,19,55.6,24,26.9,24,1017.2,24,977.8,24,10,24,4.7,24,11.1,NULL,66,explicit,44.1,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,2,20,55,24,25,24,1017.6,24,978.3,24,10,24,3.7,24,11.1,NULL,66,explicit,44.1,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,2,21,54.7,24,27.1,24,1015.5,24,976.2,24,10,24,4.5,24,9.9,15.9,64.9,explicit,43,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,2,22,54.6,24,18,24,1015.2,24,975.9,24,10,24,4.5,24,9.9,NULL,70,explicit,43,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,2,23,57.4,24,13.8,24,1016,24,976.8,24,10,24,3.1,24,8,NULL,75,explicit,43,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,2,24,60.7,24,15.5,24,1014.3,24,975.3,24,10,24,4.5,24,8,15,77,explicit,45,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,2,25,62,24,16.2,24,1018.2,24,979,24,10,24,4.9,24,8,NULL,78.1,explicit,46.9,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,2,26,66.2,24,18.1,24,1017.5,24,978.5,24,10,24,4.1,24,8.9,NULL,84,explicit,48.9,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,2,27,67.3,24,14.9,24,1015.7,24,976.9,24,10,24,5.4,24,8.9,NULL,84,explicit,51.1,explicit,0,24,G,NULL,0,0,0,0,0,0
phoenix-sky-harbor,2006,2,28,69.9,24,20.3,24,1015.4,24,976.6,24,10,24,5.5,24,13.8,NULL,81,explicit,53.1,explicit,0,24,G,NULL,0,0,0,0,0,0
